Account_ID,Activities_Last_30_Days,Employees,ZoomInfo_Employee_Range,ZoomInfo_Revenue_Range,Organic_Visits,Pct_Organic_Visits,SEO_Visits,URLs_Indexed,ZoomInfo_Global_HQ_Country,Annual_Revenue_converted,Adjusted_Industry,Account_ICP_Score,Account_ICP_Tier,Page_Count,Page_Count_Range,Alexa_Rank,Parent_Account_Status,y
0012400000CuXXY,4.0,750.0,unknown,unknown,16912767.0,0.24,16912767.0,1180000.0,non_US,200034000.0,Other,75.0,Tier A,1180000.0,>1M,6250.0,Prospect,yes
0012400000Xw2yM,0.0,300.0,250 - 500,unknown,4954013.0,0.66,5909951.0,1160000.0,US,35000000.0,Classified,100.0,Tier A,1447450.0,>1M,1000001.0,unknown,no
0012400000DnKz0,11.0,150000.0,unknown,unknown,4894788.0,0.02,4894788.0,191000.0,non_US,37228550000.0,Travel,100.0,Tier A,191000.0,Between 100K and 250K,4444.0,Prospect,yes
0012400000Xw308,15.0,1000.0,"500 - 1,000",$100 mil. - $250 mil.,25225.0,0.08,38762637.0,126000.0,US,250000000.0,Classified,100.0,Tier A,29526000.0,>1M,1000001.0,Active Customer,no
0012400001E8O7z,0.0,5000.0,"500 - 1,000",$1 bil. - $5 bil.,4373058.0,0.29,4373058.0,178000.0,US,1000000000.0,Classified,91.667,Tier A,178000.0,Between 100K and 250K,8320.0,unknown,no
0012400000UdJPF,6.0,500.0,100 - 250,unknown,20455508.0,0.41,22482235.0,53300000.0,US,1000000.0,Media,100.0,Tier A,57090000.0,>1M,2900.0,unknown,no
0012400000Pw4h4,6.0,500.0,100 - 250,unknown,13472201.0,0.82,13472201.0,1140000.0,US,111130000.0,Classified,79.167,Tier A,1140000.0,>1M,1270.0,unknown,no
0012400000UdODB,0.0,200.0,50 - 100,$10 mil. - $25 mil.,36450772.0,0.8,36450772.0,6550000.0,US,11113000.0,Media,91.667,Tier A,6550000.0,>1M,2367.0,unknown,no
0012400001JIUZx,8.0,800.0,"1,000 - 5,000",$250 mil. - $500 mil.,356632013.0,0.58,357113282.0,66000000.0,US,270000000.0,Other,100.0,Tier A,66080500.0,>1M,63.0,Lost Customer,yes
00124000002T1Mg,0.0,200.0,100 - 250,$10 mil. - $25 mil.,4454687.0,0.7,4454687.0,3710000.0,US,55565000.0,Classified,95.833,Tier A,3710000.0,>1M,5860.0,unknown,no
0012400000coOHi,90.0,1000.0,"500 - 1,000",$100 mil. - $250 mil.,2920979.0,0.26,2920979.0,1440000.0,non_US,277825000.0,Media,79.167,Tier A,1440000.0,>1M,33899.0,unknown,yes
