Account_ID,Activities_Last_30_Days,Employees,ZoomInfo_Employee_Range,ZoomInfo_Revenue_Range,Organic_Visits,Pct_Organic_Visits,SEO_Visits,URLs_Indexed,ZoomInfo_Global_HQ_Country,Annual_Revenue_converted,Adjusted_Industry,Account_ICP_Score,Account_ICP_Tier,Page_Count,Page_Count_Range,Alexa_Rank,Parent_Account_Status,y
0011p00002SebRG,0.0,16683.0,"Over 10,000",Over $5 bil.,6675013.0,0.7,6675013.0,849000.0,non_US,26400000000.0,Media,87.5,Tier A,849000.0,Between 500K and 1M,4283.0,-,prospect
0011p00002SebY7,0.0,500.0,100 - 250,-,107957.0,,107957.0,1160000.0,non_US,1000000000.0,Other,62.5,Tier A,1160000.0,>1M,17188.0,-,prospect
0011p00002SebRS,0.0,,-,-,5665436.0,0.87,5665436.0,1910000.0,-,,Other,75.0,Tier A,1910000.0,>1M,25706.0,-,prospect
0011p00002Sebe8,0.0,1000.0,-,-,5041501.0,0.51,5041501.0,1260000.0,-,250000000.0,Classified,91.667,Tier A,1260000.0,>1M,318342.0,-,prospect
0011p00002SebWO,0.0,8767.0,"5,000 - 10,000",$1 bil. - $5 bil.,4405156.0,0.05,4405156.0,7400000.0,non_US,1800000000.0,Other,95.833,Tier A,7400000.0,>1M,4094.0,Prospect,prospect
0011p00001Sh8n7,4.0,22000.0,"Over 10,000",Over $5 bil.,4003044.0,0.46,4003044.0,138000.0,US,4600000000.0,Retail,91.667,Tier A,138000.0,Between 100K and 250K,11131.0,Prospect,prospect
0011p00002SeRlC,0.0,,-,-,9441038.0,0.46,9441038.0,1060000.0,-,,Media,87.5,Tier A,1060000.0,>1M,4663.0,Prospect,prospect
0011p00002SeS0H,0.0,30.0,20 - 50,$5 mil. - $10 mil.,10406256.0,0.68,10406256.0,7010000.0,US,5800000.0,Classified,100.0,Tier A,7010000.0,>1M,6309.0,-,prospect
0011p00002SeSCi,0.0,49.0,20 - 50,$5 mil. - $10 mil.,139055943.0,0.72,139055943.0,23000000.0,US,9800000.0,Other,100.0,Tier A,23000000.0,>1M,1842.0,-,prospect
0011p00002SeSDQ,0.0,200.0,20 - 50,$5 mil. - $10 mil.,68054.0,,38903638.0,84400.0,US,10000000.0,Media,100.0,Tier A,29484400.0,>1M,106004.0,-,prospect
0011p00002SeRnb,0.0,1000.0,100 - 250,$25 mil. - $50 mil.,13021699.0,0.25,13021699.0,2590000.0,non_US,250000000.0,Media,91.667,Tier A,2590000.0,>1M,7821.0,-,prospect
0011p00002SeRsY,0.0,5000.0,"1,000 - 5,000",$100 mil. - $250 mil.,124.0,,4382547.0,2730.0,US,250000000.0,Media,87.5,Tier A,616730.0,Between 500K and 1M,1000001.0,-,prospect
0011p00002SeRzT,0.0,200.0,250 - 500,-,9094664.0,0.62,9094664.0,7290000.0,US,10000000.0,Media,100.0,Tier A,7290000.0,>1M,5650.0,-,prospect
00124000008dEDd,15.0,1000.0,"500 - 1,000",$500 mil. - $1 bil.,17472560.0,0.7,17472560.0,3890000.0,US,500000000.0,Classified,100.0,Tier A,3890000.0,>1M,2261.0,Prospect,prospect
0011p00002SeRzW,0.0,200.0,20 - 50,$5 mil. - $10 mil.,34140020.0,0.66,34140020.0,4060000.0,non_US,1000000.0,Other,70.833,Tier A,4060000.0,>1M,1712.0,Prospect,prospect
0011p00001USQTq,9.0,10000.0,"Over 10,000",Over $5 bil.,450024.0,0.21,41219199.0,28600.0,US,1311577953.5,Classified,100.0,Tier A,7478600.0,>1M,8505.0,-,prospect
0011p00001Sh8xM,0.0,101000.0,"Over 10,000",Over $5 bil.,,,0.0,,US,23000000000.0,Retail,41.667,Tier A,,-,16540.0,Prospect,prospect
0011p00002SelRl,0.0,200.0,20 - 50,$5 mil. - $10 mil.,6454394.0,,6454394.0,5060000.0,non_US,50000000.0,Other,100.0,Tier A,5060000.0,>1M,9367.0,-,prospect
0011p00002SekkT,0.0,200.0,50 - 100,$10 mil. - $25 mil.,44128088.0,0.64,44128088.0,2140000.0,US,50000000.0,Media,100.0,Tier A,2140000.0,>1M,768.0,-,prospect
0011p00002Selpr,0.0,10.0,20 - 50,$1 mil. - $5 mil.,14022933.0,0.49,14022933.0,1070000.0,non_US,10000000.0,Media,83.333,Tier A,1070000.0,>1M,14895.0,-,prospect
0011p00002SejEv,0.0,200.0,100 - 250,$25 mil. - $50 mil.,7027544.0,0.26,7027544.0,5370000.0,US,1000000000.0,Other,100.0,Tier A,5370000.0,>1M,1446.0,Prospect,prospect
0011p00002SelQ3,0.0,10.0,10 - 20,$10 mil. - $25 mil.,20270418.0,0.43,20270418.0,32800000.0,non_US,10000000.0,Other,62.5,Tier A,32800000.0,>1M,173.0,-,prospect
